merchant_id,merchant_avg_rating,seating_capacity,avg_daily_orders,merchant_reliability_score,chain_flag,cuisine_type,bias_type
1,3.749080237694725,64,139,0.7555869243588673,0,Cafe,0
2,4.901428612819832,45,140,0.9576241347600571,1,Fine Dining,0
3,4.46398788362281,46,67,0.5248171770182892,0,Fine Dining,1
4,4.197316968394073,23,78,0.9055398968678368,0,Bakery,2
5,3.312037280884873,36,30,0.5326359992842448,0,QSR,0
6,3.3119890406724055,92,44,0.5633974221683383,1,Bakery,1
7,3.116167224336399,40,65,0.5596595519446055,0,Fine Dining,1
8,4.73235229154987,82,73,0.9970511416053631,0,Fine Dining,0
9,4.202230023486417,90,53,0.5900931596657667,1,QSR,2
10,4.4161451555920905,92,103,0.9483809231281342,0,Bakery,3
11,3.041168988591605,53,81,0.9954660814732771,0,Bakery,1
12,4.939819704323988,77,76,0.6918923852061489,0,Bakery,0
13,4.664885281600844,57,112,0.8155242717643427,1,QSR,1
14,3.4246782213565523,66,135,0.8895456268818063,1,QSR,3
15,3.3636499344142012,84,95,0.6963225409181042,1,QSR,1
16,3.3668090197068676,31,95,0.5809070702489036,1,Casual Dining,0
17,3.6084844859190754,13,56,0.7168813718962805,0,Fine Dining,1
18,4.049512863264476,90,49,0.8859438225014723,1,Casual Dining,0
19,3.8638900372842313,81,61,0.8903813813742015,0,Casual Dining,0
20,3.582458280396084,55,80,0.6152693960854567,1,Fine Dining,3
21,4.223705789444759,68,67,0.5874828199453732,0,Cafe,2
22,3.278987721304084,43,103,0.9602803510501748,1,Cafe,3
23,3.5842892970704363,20,112,0.5219995152791552,0,Cafe,1
24,3.7327236865873834,40,87,0.8673692378825435,0,QSR,1
25,3.912139968434072,20,65,0.5232106927233771,0,QSR,1
26,4.570351922786028,65,132,0.9189500254304939,0,Bakery,0
27,3.3993475643167193,47,47,0.952707406668051,0,Bakery,0
28,4.028468876827223,30,96,0.6487095621145496,1,Casual Dining,0
29,4.184829137724085,19,140,0.5369678217583488,0,Bakery,1
30,3.0929008254399957,35,22,0.7403422681737143,1,QSR,1
31,4.215089703802876,17,56,0.6492315183727384,1,Casual Dining,0
32,3.341048247374583,17,111,0.7085680714051895,0,Bakery,3
33,3.130103185970559,69,102,0.83249272674434,0,Bakery,1
34,4.897771074506666,81,36,0.6049130179743585,0,Cafe,0
35,4.931264066149119,43,140,0.6784757847570432,0,QSR,0
36,4.6167946962329225,25,106,0.8912812451463368,0,Casual Dining,0
37,3.609227538346741,22,59,0.8218809749764109,0,Fine Dining,3
38,3.1953442280127677,96,92,0.6631377455756193,0,Bakery,0
39,4.368466053024314,85,48,0.8321508001299642,0,QSR,0
40,3.8803049874792026,31,61,0.8826564614459833,0,Casual Dining,0
41,3.2440764696895577,36,48,0.7962427904763938,0,QSR,0
42,3.9903538202225404,73,85,0.6197484162505043,1,QSR,1
43,3.068777042230437,11,143,0.5001226452559966,0,Casual Dining,0
44,4.818640804157564,35,139,0.9014245534941407,0,Cafe,0
45,3.517559963200034,92,128,0.9113167776580822,0,Cafe,3
46,4.325044568707964,78,111,0.8488022506971811,1,Bakery,1
47,3.623422152178822,93,131,0.5382904656838069,0,Cafe,0
48,4.040136042355622,39,71,0.7926111437540231,0,Bakery,1
49,4.093420558686559,17,79,0.9105103356358036,0,Bakery,0
50,3.3697089110510543,47,113,0.6948341600540828,1,Casual Dining,3
51,4.939169255529118,70,117,0.599000367110127,1,QSR,0
52,4.550265646722229,90,33,0.7938136486207353,0,Fine Dining,0
53,4.8789978831283785,74,70,0.913153313650439,1,Fine Dining,1
54,4.789654700855298,76,43,0.5244349793535328,0,Cafe,0
55,4.19579995762217,55,126,0.7984756085803679,0,Casual Dining,1
56,4.843748470046234,99,92,0.821586897669671,0,Fine Dining,2
57,3.176985004103839,81,103,0.8011835196741398,0,QSR,0
58,3.3919657248382906,52,80,0.8250168421185242,1,Bakery,1
59,3.090454577821076,68,125,0.8156876538020772,1,Bakery,0
60,3.650660661526529,55,113,0.5652019424901745,0,Casual Dining,1
61,3.7773545793789642,81,82,0.6174683884744576,0,Cafe,0
62,3.5426980635477916,44,114,0.8094970026445051,0,QSR,0
63,4.657475018303859,48,54,0.5088465805683854,0,Cafe,2
64,3.713506653387179,60,86,0.8173722593616222,1,Cafe,0
65,3.5618690193747615,13,75,0.8326933118925159,1,Casual Dining,2
66,4.085392166316497,89,59,0.6195873799308292,0,Bakery,1
67,3.2818484499495253,86,148,0.7990664148765698,0,Cafe,0
68,4.604393961508079,93,43,0.7670450303618823,1,Cafe,0
69,3.1491012873595414,60,121,0.6303457740765569,0,QSR,1
70,4.973773873201035,14,134,0.7314870059373773,1,Bakery,2
71,4.544489538593314,64,94,0.9548122647060908,0,Cafe,1
72,3.397431363068345,29,30,0.7133013902299414,0,Fine Dining,2
73,3.011044234247205,33,55,0.8149220884397508,0,Fine Dining,0
74,4.6309228569096685,45,82,0.5176754105203472,0,Bakery,0
75,4.413714687695235,43,99,0.5389000566610493,0,Bakery,1
76,4.458014336081975,63,107,0.5406540366516592,0,Casual Dining,1
77,4.542540693371891,43,49,0.8891203818132227,1,Cafe,1
78,3.148089303468181,92,122,0.6751284474017263,0,Fine Dining,0
79,3.7169314570885454,26,131,0.6138058441829066,0,Fine Dining,0
80,3.2317381190502594,14,103,0.8736622842258613,1,Bakery,2
81,4.726206851751187,98,124,0.5849800312780873,1,Bakery,2
82,4.246596253655116,27,40,0.6232462625351403,0,QSR,3
83,3.6617960497052984,64,56,0.7154657216350104,1,QSR,0
84,3.1271167005720475,62,46,0.6657190345073066,1,Bakery,0
85,3.6219646434313244,59,121,0.7926961055183221,0,QSR,1
86,3.650366644053494,81,57,0.6689203095374239,0,Bakery,1
87,4.459212356676128,88,79,0.6964758179294459,0,Bakery,0
88,4.2751149427104265,54,89,0.931443304124743,0,Casual Dining,1
89,4.774425485152653,22,51,0.9422657198140012,0,QSR,0
90,3.944429850323899,25,99,0.9138555954067038,0,Cafe,0
91,3.2391884918766034,95,121,0.9324154663523163,1,Cafe,1
92,4.42648957444599,93,121,0.7848643346695585,0,Casual Dining,0
93,4.521570097233795,22,49,0.8231166073756919,0,Cafe,1
94,4.122554395138993,29,41,0.7785865832774703,1,Cafe,0
95,4.541934359909122,75,38,0.89279404202646,0,Casual Dining,0
96,3.9875911927287815,56,50,0.7755002428807221,0,Fine Dining,2
97,4.045465658763988,28,39,0.5555384822753903,0,Casual Dining,1
98,3.855082036717099,54,149,0.90479006022843,0,Casual Dining,2
99,3.05083825348819,46,59,0.8802925853387682,1,QSR,2
100,3.215782853986609,63,110,0.9101502976413127,0,Cafe,2
101,3.0628583713734683,15,91,0.5952147316948809,1,Cafe,2
102,4.272820822527561,23,128,0.6358085263574835,0,Fine Dining,0
103,3.6287119621526536,13,46,0.6478758486317651,1,Casual Dining,1
104,4.017141382329406,95,98,0.7540402680928369,0,Bakery,3
105,4.815132947852186,64,97,0.5669385420817299,0,Fine Dining,0
106,3.49858445829775,43,36,0.6926908766374337,1,Fine Dining,1
107,3.8207658460712595,36,103,0.5910790805395147,0,Cafe,2
108,4.511102277086097,16,107,0.6323813565163683,0,Cafe,3
109,3.457596330983245,12,93,0.8531938172792137,0,Cafe,2
110,3.1539598196575858,56,146,0.9274055781586406,0,Cafe,1
